DAY,CURRENCY,RATE
2021-01-01,GEL,3.285
2021-01-01,GGP,0.73135
2021-01-01,GHS,5.899054
2021-01-01,GMD,51.755
2021-01-01,GIP,0.73135
2021-01-01,HUF,296.92
2021-01-01,HTG,72.62042
2021-01-01,HRK,6.1794
2021-01-01,HNL,24.201215
2021-01-01,HKD,7.75325
2021-01-01,GYD,209.171282
2021-01-01,GTQ,7.793425
2021-01-01,GNF,10001.800634
2021-01-02,NGN,396.700509
2021-01-02,NIO,34.873728
2021-01-02,NOK,8.63301
2021-01-02,NPR,117.485776
2021-01-02,NZD,1.412085
2021-01-02,OMR,0.384976
2021-01-02,PAB,1
2021-01-02,PEN,3.637889
2021-01-02,PGK,3.539268
2021-01-02,PHP,48.338897
2021-01-02,PKR,160.992872
2021-01-02,PLN,3.75377
2021-01-02,PYG,6951.07244
2021-01-02,QAR,3.64125
2021-01-02,RON,3.9831
2021-01-02,RSD,96.25
2021-01-02,RUB,73.945
2021-01-02,RWF,990.813199
2021-01-02,SAR,3.751084
2021-01-02,SBD,8.002049
2021-01-02,SCR,21.204537
2021-01-02,SDG,55.225
2021-01-02,MNT,2854.186283
2021-01-02,LRD,164.233303
2021-01-02,LSL,14.681041
2021-01-02,LTL,3.215858
2021-01-02,LVL,0.654582
2021-01-02,LYD,1.344386
2021-01-02,MAD,8.927095
2021-01-02,MDL,17.269066
2021-01-02,MGA,3931.398747
2021-01-02,MKD,50.444146
2021-01-02,MMK,1334.572418
2021-01-02,NAD,14.69
2021-01-02,MOP,7.983466
2021-01-02,MRO,357
2021-01-02,MRU,36.18
2021-01-02,MTL,0.683738
2021-01-02,MUR,39.699575
2021-01-02,MVR,15.4
2021-01-02,MWK,774.654957
2021-01-02,MXN,19.8822
2021-01-02,MYR,4.0505
2021-01-02,MZN,74.81
2021-01-02,XCD,2.70255
2021-01-02,USD,1
2021-01-02,UYU,42.360892
2021-01-02,UZS,10474.795277
2021-01-02,VEF,248487.642241
2021-01-02,VES,1105425.302503
2021-01-02,VND,23344.601074
2021-01-02,VUV,108.952017
2021-01-02,WST,2.536797
2021-01-02,XAF,540.549729
2021-01-02,XAG,0.03790043
2021-01-02,XAU,0.0005268
2021-01-02,UGX,3655.26232
2021-01-02,XDR,0.696046
2021-01-02,XOF,540.549729
2021-01-02,XPD,0.00040677
2021-01-02,XPF,98.336844
2021-01-02,XPT,0.00093188
2021-01-02,YER,250.408348
2021-01-02,ZAR,14.662595
2021-01-02,ZMK,5253.075255
2021-01-02,ZMW,21.165801
2021-01-02,ZWL,322
2021-01-02,SZL,14.677733
2021-01-02,SGD,1.321615
2021-01-02,SHP,0.731368
2021-01-02,SLL,10099.47633
2021-01-02,SOS,581.358349
2021-01-02,SRD,14.154
2021-01-02,SSP,130.26
2021-01-02,STD,20389.997455
2021-01-02,STN,20.325
2021-01-02,SVC,8.748595
2021-01-02,SYP,513.419605
2021-01-02,SEK,8.26929
2021-01-02,THB,30.195303
2021-01-02,TJS,11.325199
2021-01-02,TMT,3.5
2021-01-02,TND,2.6945
2021-01-02,TOP,2.274086
2021-01-02,TRY,7.4392
2021-01-02,TTD,6.795284
2021-01-02,TWD,28.069001
2021-01-02,TZS,2318.537
2021-01-02,UAH,28.475256
2021-01-02,CNH,6.50503
2021-01-02,BTC,3.1064063e-05
2021-01-02,BTN,73.428791
2021-01-02,BWP,10.802857
2021-01-02,BYN,2.612258
2021-01-02,BYR,20026.25
2021-01-02,BZD,2.015329
2021-01-02,CAD,1.273005
2021-01-02,CDF,1971.040379
2021-01-02,CHF,0.890075
2021-01-02,CLF,0.025749
2021-01-02,CLP,710.49939
2021-01-02,BSD,1
2021-01-02,CNY,6.533
2021-01-02,COP,3461.475266
2021-01-02,CRC,610.275904
2021-01-02,CUC,0.999805
2021-01-02,CUP,25.75
2021-01-02,CVE,90.55
2021-01-02,CZK,21.470201
2021-01-02,DJF,178.902125
2021-01-02,DKK,6.0929
2021-01-02,DOP,58.177256
2021-01-02,AZN,1.7025
2021-01-02,LKR,186.166825
2021-01-02,AED,3.6732
2021-01-02,AFN,77.571739
2021-01-02,ALL,101.322195
2021-01-02,AMD,522.91
2021-01-02,ANG,1.79468
2021-01-02,AOA,654.16
2021-01-02,ARS,85.115434
2021-01-02,AUD,1.29985
2021-01-02,AWG,1.8
2021-01-02,LBP,1519.51088
2021-01-02,BAM,1.601236
2021-01-02,BBD,2
2021-01-02,BDT,84.632456
2021-01-02,BGN,1.601212
2021-01-02,BHD,0.377011
2021-01-02,BIF,1941.945389
2021-01-02,BMD,1
2021-01-02,BND,1.328012
2021-01-02,BOB,6.919072
2021-01-02,BRL,5.1934
2021-01-02,KES,109.74
2021-01-02,ILS,3.21302
2021-01-02,IMP,0.731368
2021-01-02,INR,73.09225
2021-01-02,IQD,1468.227817
2021-01-02,IRR,42213.385176
2021-01-02,ISK,127.81
2021-01-02,JEP,0.731368
2021-01-02,JMD,142.971637
2021-01-02,JOD,0.709
2021-01-02,JPY,103.23998054
2021-01-02,EEK,14.573008
2021-01-02,KGS,83.169856
2021-01-02,KHR,4057.957295
2021-01-02,KMF,403.000217
2021-01-02,KPW,900
2021-01-02,KRW,1085.73
2021-01-02,KWD,0.304144
2021-01-02,KYD,0.833157
2021-01-02,KZT,421.359547
2021-01-02,LAK,9341.069588
2021-01-02,DZD,132.070391
2021-01-02,HUF,296.92
2021-01-02,IDR,14213.6925
2021-01-02,EGP,15.842604
2021-01-02,ERN,15.001453
2021-01-02,ETB,39.551923
2021-01-02,EUR,0.824063
2021-01-02,FJD,2.0392
2021-01-02,FKP,0.731368
2021-01-02,GBP,0.731368
2021-01-02,GEL,3.285
2021-01-02,GGP,0.731368
2021-01-02,GIP,0.731368
2021-01-02,GMD,51.755
2021-01-02,GNF,10001.800634
2021-01-02,GTQ,7.793425
2021-01-02,GYD,209.171282
2021-01-02,HKD,7.75325
2021-01-02,HNL,24.201215
2021-01-02,HRK,6.1794
2021-01-02,HTG,72.62042
2021-01-02,GHS,5.899054
2021-01-03,PLN,3.724936
2021-01-03,PKR,160.992872
2021-01-03,PHP,47.87879
2021-01-03,PGK,3.573785
2021-01-03,PEN,3.637889
2021-01-03,PAB,1
2021-01-03,OMR,0.384973
2021-01-03,NZD,1.389644
2021-01-03,NPR,117.485764
2021-01-03,NOK,8.5537
2021-01-03,NIO,35.022309
2021-01-03,PYG,6951.07244
2021-01-03,QAR,3.659012
2021-01-03,RON,3.97902
2021-01-03,RSD,96.25
2021-01-03,RUB,74.108833
2021-01-03,RWF,995.914597
2021-01-03,SAR,3.751576
2021-01-03,SBD,8.002049
2021-01-03,SCR,21.204445
2021-01-03,SDG,55.225
2021-01-03,SEK,8.1971
2021-01-03,MOP,8.024643
2021-01-03,LSL,14.747637
2021-01-03,LTL,3.215858
2021-01-03,LVL,0.654582
2021-01-03,LYD,1.344386
2021-01-03,MAD,8.927095
2021-01-03,MDL,17.187438
2021-01-03,MGA,3885.699374
2021-01-03,MKD,50.444144
2021-01-03,MMK,1334.572418
2021-01-03,MNT,2854.538362
2021-01-03,NGN,388.950254
2021-01-03,MRO,357
2021-01-03,MRU,36.680994
2021-01-03,MTL,0.683738
2021-01-03,MUR,39.699788
2021-01-03,MVR,15.399946
2021-01-03,MWK,774.654957
2021-01-03,MXN,19.852268
2021-01-03,MYR,4.0225
2021-01-03,MZN,74.81
2021-01-03,NAD,14.69
2021-01-03,XDR,0.696046
2021-01-03,UYU,42.365455
2021-01-03,UZS,10528.692184
2021-01-03,VEF,248487.642241
2021-01-03,VES,1071507.60272
2021-01-03,VND,23125.9876
2021-01-03,VUV,108.949928
2021-01-03,WST,2.536905
2021-01-03,XAF,535.468581
2021-01-03,XAG,0.03722387
2021-01-03,XAU,0.00052263
2021-01-03,XCD,2.70255
2021-01-03,USD,1
2021-01-03,XOF,535.468581
2021-01-03,XPD,0.000403
2021-01-03,XPF,97.412481
2021-01-03,XPT,0.00091956
2021-01-03,YER,250.408348
2021-01-03,ZAR,14.654459
2021-01-03,ZMK,5253.075255
2021-01-03,ZMW,21.274796
2021-01-03,ZWL,322
2021-01-03,BWP,10.858488
2021-01-03,THB,29.911348
2021-01-03,SHP,0.730947
2021-01-03,SLL,10099.475764
2021-01-03,SOS,581.358349
2021-01-03,SRD,14.154
2021-01-03,SSP,130.26
2021-01-03,STD,20389.997455
2021-01-03,STN,20.325
2021-01-03,SVC,8.793647
2021-01-03,SYP,512.606271
2021-01-03,SZL,14.745098
2021-01-03,SGD,1.32072
2021-01-03,TJS,11.383519
2021-01-03,TMT,3.5
2021-01-03,TND,2.691468
2021-01-03,TOP,2.276155
2021-01-03,TRY,7.441906
2021-01-03,TTD,6.795284
2021-01-03,TWD,28.069001
2021-01-03,TZS,2325.698973
2021-01-03,UAH,28.475256
2021-01-03,UGX,3674.072955
2021-01-03,CNY,6.533
2021-01-03,BTN,73.428791
2021-01-03,AED,3.672959
2021-01-03,BYN,2.625732
2021-01-03,BYR,20026.25
2021-01-03,BZD,2.025707
2021-01-03,CAD,1.272397
2021-01-03,CDF,1981.252897
2021-01-03,CHF,0.883146
2021-01-03,CLF,0.025749
2021-01-03,CLP,710.499769
2021-01-03,CNH,6.49206
2021-01-03,BTC,3.0533472e-05
2021-01-03,COP,3428.89999
2021-01-03,CRC,613.418062
2021-01-03,CUC,1.004953
2021-01-03,CUP,25.75
2021-01-03,CVE,90.55
2021-01-03,CZK,21.425601
2021-01-03,DJF,178.902126
2021-01-03,DKK,6.0841
2021-01-03,DOP,58.428096
2021-01-03,DZD,132.070391
2021-01-03,BAM,1.601236
2021-01-03,LRD,164.233303
2021-01-03,AFN,77.571739
2021-01-03,ALL,101.322195
2021-01-03,AMD,522.91
2021-01-03,ANG,1.803922
2021-01-03,AOA,654.16
2021-01-03,ARS,84.313995
2021-01-03,AUD,1.2968
2021-01-03,AWG,1.8
2021-01-03,AZN,1.7025
2021-01-03,LKR,186.166825
2021-01-03,BBD,2
2021-01-03,BDT,85.068977
2021-01-03,BGN,1.601687
2021-01-03,BHD,0.377011
2021-01-03,BIF,1949.897533
2021-01-03,BMD,1
2021-01-03,BND,1.328012
2021-01-03,BOB,6.919072
2021-01-03,BRL,5.20234
2021-01-03,BSD,1
2021-01-03,KGS,83.174157
2021-01-03,IMP,0.730947
2021-01-03,INR,73.087014
2021-01-03,IQD,1468.227817
2021-01-03,IRR,42105
2021-01-03,ISK,127.804435
2021-01-03,JEP,0.730947
2021-01-03,JMD,143.707859
2021-01-03,JOD,0.709
2021-01-03,JPY,103.2472
2021-01-03,KES,109.740306
2021-01-03,EGP,15.693558
2021-01-03,KHR,4057.957295
2021-01-03,KMF,403.000217
2021-01-03,KPW,900
2021-01-03,KRW,1087.236576
2021-01-03,KWD,0.304144
2021-01-03,KYD,0.837447
2021-01-03,KZT,423.529454
2021-01-03,LAK,9341.069588
2021-01-03,LBP,1519.51088
2021-01-03,EEK,14.573008
2021-01-03,IDR,14078.160802
2021-01-03,ILS,3.211124
2021-01-03,ERN,15.001306
2021-01-03,ETB,39.551923
2021-01-03,EUR,0.816317
2021-01-03,FJD,2.0392
2021-01-03,FKP,0.730947
2021-01-03,GBP,0.730947
2021-01-03,GEL,3.280255
2021-01-03,GGP,0.730947
2021-01-03,GHS,5.899054
2021-01-03,GMD,51.755
2021-01-03,GIP,0.730947
2021-01-03,HUF,296.794197
2021-01-03,HTG,72.994395
2021-01-03,HRK,6.179634
2021-01-03,HNL,24.230218
2021-01-03,HKD,7.75301
2021-01-03,GYD,210.250059
2021-01-03,GTQ,7.833558
2021-01-03,GNF,10044.594916
2021-01-04,NOK,8.55568
2021-01-04,NPR,116.785927
2021-01-04,NZD,1.393077
2021-01-04,OMR,0.385024
2021-01-04,PAB,1
2021-01-04,PEN,3.620223
2021-01-04,PGK,3.55469
2021-01-04,PHP,48.040189
2021-01-04,PKR,160.108822
2021-01-04,PLN,3.719876
2021-01-04,PYG,6913.67373
2021-01-04,QAR,3.640682
2021-01-04,RON,3.9746
2021-01-04,RSD,95.95
2021-01-04,RUB,74.5104
2021-01-04,RWF,990.568009
2021-01-04,SAR,3.751308
2021-01-04,SBD,8.047136
2021-01-04,SCR,21.204664
2021-01-04,SDG,55.3
2021-01-04,SEK,8.249712
2021-01-04,SGD,1.32048
2021-01-04,MRO,356.999828
2021-01-04,LTL,3.215858
2021-01-04,LVL,0.654582
2021-01-04,LYD,1.335633
2021-01-04,MAD,8.856098
2021-01-04,MDL,17.149816
2021-01-04,MGA,3905.033998
2021-01-04,MKD,50.296109
2021-01-04,MMK,1327.389968
2021-01-04,MNT,2852.300981
2021-01-04,MOP,7.981364
2021-01-04,NIO,34.930698
2021-01-04,MRU,36.708239
2021-01-04,MTL,0.683738
2021-01-04,MUR,39.399997
2021-01-04,MVR,15.41
2021-01-04,MWK,773.095425
2021-01-04,MXN,19.944302
2021-01-04,MYR,4.0065
2021-01-04,MZN,74.889007
2021-01-04,NAD,14.6
2021-01-04,NGN,386.114428
2021-01-04,XDR,0.694006
2021-01-04,UZS,10448.541127
2021-01-04,VEF,248487.642241
2021-01-04,VES,1105425.552503
2021-01-04,VND,23158.127275
2021-01-04,VUV,109.238245
2021-01-04,WST,2.519179
2021-01-04,XAF,535.362208
2021-01-04,XAG,0.03679855
2021-01-04,XAU,0.00051497
2021-01-04,XCD,2.70255
2021-01-04,UYU,42.342953
2021-01-04,XOF,535.362208
2021-01-04,XPD,0.00041992
2021-01-04,XPF,97.393129
2021-01-04,XPT,0.00092799
2021-01-04,YER,250.349961
2021-01-04,ZAR,14.7016
2021-01-04,ZMK,5253.075255
2021-01-04,ZMW,21.162959
2021-01-04,ZWL,322
2021-01-04,LSL,14.577764
2021-01-04,TJS,11.322313
2021-01-04,SLL,10099.475941
2021-01-04,SOS,580.362992
2021-01-04,SRD,14.154
2021-01-04,SSP,130.26
2021-01-04,STD,20389.997455
2021-01-04,STN,20.2
2021-01-04,SVC,8.745498
2021-01-04,SYP,512.845895
2021-01-04,SZL,14.583466
2021-01-04,THB,29.918098
2021-01-04,SHP,0.736879
2021-01-04,TMT,3.51
2021-01-04,TND,2.687
2021-01-04,TOP,2.273578
2021-01-04,TRY,7.427
2021-01-04,TTD,6.758735
2021-01-04,TWD,28.1181
2021-01-04,TZS,2318.156611
2021-01-04,UAH,28.430255
2021-01-04,UGX,3678.260486
2021-01-04,USD,1
2021-01-04,CNY,6.4616
2021-01-04,BTN,72.988902
2021-01-04,BWP,10.753651
2021-01-04,BYN,2.5808
2021-01-04,BYR,20026.25
2021-01-04,BZD,2.014831
2021-01-04,CAD,1.278155
2021-01-04,CDF,1970.491611
2021-01-04,CHF,0.881277
2021-01-04,CLF,0.025525
2021-01-04,CLP,704.29975
2021-01-04,CNH,6.453215
2021-01-04,BTC,3.1272282e-05
2021-01-04,COP,3433.431795
2021-01-04,CRC,610.150056
2021-01-04,CUC,1.004953
2021-01-04,CUP,25.75
2021-01-04,CVE,90.125
2021-01-04,CZK,21.374599
2021-01-04,DJF,177.944216
2021-01-04,DKK,6.072
2021-01-04,DOP,58.167751
2021-01-04,DZD,132.194469
2021-01-04,BAM,1.590248
2021-01-04,AED,3.6732
2021-01-04,AFN,77.402812
2021-01-04,ALL,100.722723
2021-01-04,AMD,523.066843
2021-01-04,ANG,1.794159
2021-01-04,AOA,653.903452
2021-01-04,ARS,84.6205
2021-01-04,AUD,1.303844
2021-01-04,AWG,1.8
2021-01-04,AZN,1.700805
2021-01-04,LRD,164.400036
2021-01-04,BBD,2
2021-01-04,BDT,84.766038
2021-01-04,BGN,1.597307
2021-01-04,BHD,0.377083
2021-01-04,BIF,1942.139014
2021-01-04,BMD,1
2021-01-04,BND,1.316594
2021-01-04,BOB,6.881835
2021-01-04,BRL,5.29675
2021-01-04,BSD,1
2021-01-04,KHR,4047.142542
2021-01-04,IMP,0.736879
2021-01-04,INR,73.089747
2021-01-04,IQD,1459.325238
2021-01-04,IRR,42105
2021-01-04,ISK,127.4
2021-01-04,JEP,0.736879
2021-01-04,JMD,142.386594
2021-01-04,JOD,0.709
2021-01-04,JPY,103.1355
2021-01-04,KES,109.271461
2021-01-04,KGS,83.170087
2021-01-04,EGP,15.7396
2021-01-04,KMF,402.22493
2021-01-04,KPW,900
2021-01-04,KRW,1086.696109
2021-01-04,KWD,0.304115
2021-01-04,KYD,0.83292
2021-01-04,KZT,421.248802
2021-01-04,LAK,9286.869977
2021-01-04,LBP,1512.972638
2021-01-04,LKR,186.914049
2021-01-04,EEK,14.573008
2021-01-04,IDR,14014.7105
2021-01-04,ILS,3.20892
2021-01-04,ERN,15.001321
2021-01-04,ETB,39.29702
2021-01-04,EUR,0.816154
2021-01-04,FJD,2.0421
2021-01-04,FKP,0.736879
2021-01-04,GBP,0.736879
2021-01-04,GEL,3.29
2021-01-04,GGP,0.736879
2021-01-04,GHS,5.86732
2021-01-04,GMD,51.75
2021-01-04,GNF,10157.773258
2021-01-04,GTQ,7.791492
2021-01-04,GYD,208.935711
2021-01-04,HKD,7.75311
2021-01-04,HNL,24.210781
2021-01-04,HRK,6.1701
2021-01-04,HTG,72.73792
2021-01-04,HUF,295.358909
2021-01-04,GIP,0.736879
2021-01-05,PLN,3.687773
2021-01-05,PKR,160.667043
2021-01-05,PHP,48.047967
2021-01-05,PGK,3.520238
2021-01-05,PEN,3.629252
2021-01-05,PAB,1
2021-01-05,OMR,0.385051
2021-01-05,NZD,1.37855
2021-01-05,NPR,117.312496
2021-01-05,NOK,8.467513
2021-01-05,NIO,34.906908
2021-01-05,PYG,6926.447259
2021-01-05,QAR,3.641
2021-01-05,RON,3.9603
2021-01-05,RSD,95.61
2021-01-05,RUB,74.249
2021-01-05,RWF,983.334401
2021-01-05,SAR,3.751464
2021-01-05,SBD,8.016037
2021-01-05,SCR,21.204951
2021-01-05,SDG,55.3
2021-01-05,SEK,8.1832
2021-01-05,MOP,7.994963
2021-01-05,LSL,14.808892
2021-01-05,LTL,3.215858
2021-01-05,LVL,0.654582
2021-01-05,LYD,3.512198
2021-01-05,MAD,8.827906
2021-01-05,MDL,17.116052
2021-01-05,MGA,3887.808988
2021-01-05,MKD,50.104493
2021-01-05,MMK,1322.076816
2021-01-05,MNT,2853.864778
2021-01-05,NGN,388.309959
2021-01-05,MRO,356.999828
2021-01-05,MRU,36.488009
2021-01-05,MTL,0.683738
2021-01-05,MUR,39.404461
2021-01-05,MVR,15.4
2021-01-05,MWK,771.275326
2021-01-05,MXN,19.9056
2021-01-05,MYR,4.0175
2021-01-05,MZN,74.959992
2021-01-05,NAD,15.01
2021-01-05,XDR,0.693463
2021-01-05,UYU,42.173496
2021-01-05,UZS,10463.049511
2021-01-05,VEF,248487.642241
2021-01-05,VES,1112243.555556
2021-01-05,VND,23061.97519
2021-01-05,VUV,108.911777
2021-01-05,WST,2.525272
2021-01-05,XAF,533.363426
2021-01-05,XAG,0.03625423
2021-01-05,XAU,0.00051272
2021-01-05,XCD,2.70255
2021-01-05,USD,1
2021-01-05,XOF,533.363426
2021-01-05,XPD,0.00040528
2021-01-05,XPF,97.029511
2021-01-05,XPT,0.00090019
2021-01-05,YER,250.424971
2021-01-05,ZAR,14.975845
2021-01-05,ZMK,5253.075255
2021-01-05,ZMW,21.21277
2021-01-05,ZWL,322
2021-01-05,AED,3.673002
2021-01-05,THB,29.932
2021-01-05,SHP,0.733808
2021-01-05,SLL,10106.224613
2021-01-05,SOS,579.920754
2021-01-05,SRD,14.154
2021-01-05,SSP,130.26
2021-01-05,STD,20389.997455
2021-01-05,STN,20.1
2021-01-05,SVC,8.760576
2021-01-05,SYP,512.814386
2021-01-05,SZL,14.949306
2021-01-05,SGD,1.3175
2021-01-05,TJS,11.341066
2021-01-05,TMT,3.5
2021-01-05,TND,2.6805
2021-01-05,TOP,2.275129
2021-01-05,TRY,7.3902
2021-01-05,TTD,6.801673
2021-01-05,TWD,27.964699
2021-01-05,TZS,2321.768582
2021-01-05,UAH,28.338998
2021-01-05,UGX,3699.426655
2021-01-05,CNY,6.4563
2021-01-05,BTN,73.320103
2021-01-05,BWP,10.894397
2021-01-05,BYN,2.586766
2021-01-05,BYR,20026.25
2021-01-05,BZD,2.018079
2021-01-05,CAD,1.267635
2021-01-05,CDF,1972.077172
2021-01-05,CHF,0.878243
2021-01-05,CLF,0.02522
2021-01-05,CLP,695.90149
2021-01-05,CNH,6.436125
2021-01-05,BTC,2.9407106e-05
2021-01-05,COP,3445.13257
2021-01-05,CRC,612.824461
2021-01-05,CUC,1.004953
2021-01-05,CUP,25.75
2021-01-05,CVE,90.35
2021-01-05,CZK,21.259399
2021-01-05,DJF,178.198421
2021-01-05,DKK,6.048692
2021-01-05,DOP,58.243842
2021-01-05,DZD,132.265166
2021-01-05,BAM,1.594175
2021-01-05,LRD,165.149972
2021-01-05,AFN,77.469268
2021-01-05,ALL,100.724426
2021-01-05,AMD,522.270094
2021-01-05,ANG,1.797108
2021-01-05,AOA,655.515
2021-01-05,ARS,84.7992
2021-01-05,AUD,1.288238
2021-01-05,AWG,1.8
2021-01-05,AZN,1.700805
2021-01-05,LKR,188.72508
2021-01-05,BBD,2
2021-01-05,BDT,84.906253
2021-01-05,BGN,1.590713
2021-01-05,BHD,0.377128
2021-01-05,BIF,1944.016128
2021-01-05,BMD,1
2021-01-05,BND,1.320118
2021-01-05,BOB,6.893207
2021-01-05,BRL,5.2856
2021-01-05,BSD,1
2021-01-05,KGS,83.204779
2021-01-05,IMP,0.733808
2021-01-05,INR,73.168251
2021-01-05,IQD,1461.642047
2021-01-05,IRR,42105
2021-01-05,ISK,126.92
2021-01-05,JEP,0.733808
2021-01-05,JMD,142.009681
2021-01-05,JOD,0.709
2021-01-05,JPY,102.687
2021-01-05,KES,109.478381
2021-01-05,EGP,15.7006
2021-01-05,KHR,4054.891176
2021-01-05,KMF,401.1501
2021-01-05,KPW,900
2021-01-05,KRW,1087.448987
2021-01-05,KWD,0.303614
2021-01-05,KYD,0.834325
2021-01-05,KZT,422.044955
2021-01-05,LAK,9301.235494
2021-01-05,LBP,1513.731999
2021-01-05,EEK,14.573008
2021-01-05,IDR,13903.908531
2021-01-05,ILS,3.20377
2021-01-05,ERN,15.001252
2021-01-05,ETB,39.273545
2021-01-05,EUR,0.813107
2021-01-05,FJD,2.0272
2021-01-05,FKP,0.733808
2021-01-05,GBP,0.733808
2021-01-05,GEL,3.3
2021-01-05,GGP,0.733808
2021-01-05,GHS,5.868206
2021-01-05,GMD,51.7
2021-01-05,GNF,10249.610741
2021-01-05,GTQ,7.804313
2021-01-05,GYD,209.363778
2021-01-05,HKD,7.75305
